id,venue_name,venue_type,main_bus,venue_add_one,venue_add_two,venue_pcode,venue_web,venue_phone,venue_email,venue_fb,venue_tw,org_own,mger,mger_email,mger_phone,online_contact_form,follow_up,venue_city,venue_country,notes,std_sign_off,res_sign_off,s_kick_id,latitude,longitude,constituency,wday_opening,wday_closing,wkd_opening,wkd_closing,show_opening,show_closing,variations,promoters,venue_capacity,outdoor_space,type_outdoor_space,Instagram ,PRS Type,PRS Venue cat,Omic,gigmainbiz,MD_pad,NPO,FAC,AIE,MVT,Year Venue Opened ,Year Venue Closed ,LAP_areas 
1,24 Kitchen Street,medvenue,yes,24 Kitchen Street,Liverpool,L10AN,NA,07585 800608,enquiries@24kitchenstreet.com,https://www.facebook.com/24kitchenstreet,https://twitter.com/24kitchenstreet,Saad Shaffi/ Ioan Roberts,Saad Shaffi,saad@24kitchenstreet.com,,NA,,Liverpool,England,"Opening times rely on events, but are consistent for club nights on weekends",C,,2552359,53.39706,-2.9822,,,,22:00:00,04:00:00,,,,,400,Y,SA,https://www.instagram.com/24kitchenstreet/,Public House,Gigs and clubs,,1,1,,,1,,2013,NA,CC14/EC6
2,81 Renshaw,smallvenue,no,81 Renshaw Street,Liverpool,L12SJ,https://www.81renshaw.co.uk/,0151 707 1805,info@81renshaw.co.uk,https://www.facebook.com/81Renshaw,https://twitter.com/81renshaw,Neil Telly ,Alastair Clarke,al@81renshaw.co.uk,7530556926,NA, ,Liverpool,England,Opening times are for record shop in venue,,,2940088,53.40281,-2.97596,,12:00:00,17:00:00,12:00:00,18:00:00,,,Closed SUN/MON,,,N,,https://www.instagram.com/81_renshaw/,Public House,Gigs and clubs,,,1,,,,,2016,NA,CC3/EC6
3,92 Degrees,rest,no,24 Hardman Street,Liverpool,L19AX,https://92degrees.coffee/pages/find-us-store,0151 458 2908,HARDMANSTREET@92degrees.coffee,https://www.facebook.com/92DegreesUK/,https://twitter.com/92DegreesUK,Gerard Bowers-Mcintyre/ John Brewitt,,Emailed,,https://92degrees.coffee/,,Liverpool,England,,C,,,53.40145,-2.97082,,08:00:00,18:00:00,09:00:00,18:00:00,,,FRI/08:00/18:00; SUN/09:00/18:00,,55,Y,SA,https://www.instagram.com/92degreesuk/,Restaurant/Cafe,,,,1,,,,,2015,NA,HD1/ HD2/EC6
4,Arts Club (Loft) ,smallvenue,yes,90 Seel Street,Liverpool,L14BH,https://academymusicgroup.com/artsclubliverpool/,0151 539 4110,mail@o2academyliverpool.co.uk,https://www.facebook.com/artsclubliverpool/,https://twitter.com/ArtsClubHQ,02 Academy Group,Patrick Doherty,patrick@o2academyliverpool.co.uk,7885977713,NA,,Liverpool,England,Higher capacity when used as a club,,,2183889,53.40147,-2.97783,,,,,,,,,,250/400,N,,https://www.instagram.com/artsclubhq/,Nightclub,Gigs and clubs,,1,,,,,,2016,2023,CC15/HD1/EC6
5,Arts Club (Theatre) ,medvenue,yes,90 Seel Street,Liverpool,L14BH,https://academymusicgroup.com/artsclubliverpool/,0151 539 4110,mail@o2academyliverpool.co.uk,https://www.facebook.com/artsclubliverpool/,https://twitter.com/ArtsClubHQ,02 Academy Group,Patrick Doherty,patrick@o2academyliverpool.co.uk,7885977713,NA,,Liverpool,England,,,,2509859,53.40147,-2.97783,,,,,,,,,,500,N,,https://www.instagram.com/artsclubhq/,Nightclub,Gigs and clubs,,1,,,,,,2016,2023,CC15/ HD1/EC6
6,Avenue,smallvenue,yes,13-17 Scarsbrick Avenue,Southport,PR81PT,NA,07905 707469,,https://www.facebook.com/number1livemusicvenueinSouthport/,https://twitter.com/AvenueSouthport/,N/A,,Fb message ,,NA,,Southport,England,,,,,53.648014,-3.008414,,21:00:00,03:00:00,19:00:00,03:00:00,,,SAT/17:00/03:00; SUN/20:00/03:00,,,N,,,Public House,Gigs and Clubs,,1,,,,,,2012,NA,
7,Baltic Market,rest,no,107 Stanhope St,Liverpool,L85XJ,https://www.balticmarket.co.uk/,07531 720520,hello@balticmarket.co.uk,https://www.facebook.com/BalticMarketLiv,https://twitter.com/BalticMarketLiv,Independent Liverpool,,emailed,,https://www.balticmarket.co.uk/contact-us/, ,Liverpool,England,,,,3677579,53.39317,-2.97772,,17:00:00,22:00:00,12:00:00,23:00:00,,,Closed MON/TUE; SAT/11:00/23:00; SUN/11:00/22:00,,,Y,BOTH,https://www.instagram.com/balticmarket/,Shop,Gigs and clubs,,,,,,,,2017,NA,CC14/CC15/EC6
8,Baltic Social,"bar, pub with music",no,27 Parliament St,Liverpool,L85RN,https://thebalticsocial.com/,0151 707 1137,thebalticsocial@gmail.com,https://www.facebook.com/thebalticsocial,https://twitter.com/thebalticsocial,NA,Alexandra Mills,N/A,N/A,NA,,Liverpool,England,Higher capacity when standing ,C,,2543984,53.39431,-2.9793,,12:00:00,20:00:00,10:00:00,02:00:00,,,THU/12:00/22:00; SUN/10:00/20:00,,100/250,N,,https://www.instagram.com/thebaltic_social/,Public House,Gigs and clubs,,,,,,,,2013,2023,HD2/CC14/CC15/EC6
9,Bar 17,"bar, pub with music",no,5 Heathfield Street,Liverpool,L14AT,NA,07845 336959,bar17liverpool@outlook.com,https://www.facebook.com/bar17liverpool/,https://twitter.com/est15barbers/,Gary Wilcox ,N/A,N/A,N/A,NA,,Liverpool,England,,C,,,53.40322,-2.97718,,20:00:00,00:00:00,20:00:00,00:00:00,,,Closed MON/TUE,,120,N,,https://www.instagram.com/bar17liverpool/,Public House,Gigs and Clubs,,,,,,,,2017,2020,HD1/CC7/CC8/SP1/SP3
10,Alchemy,"bar, pub with music",no,2-4 High Street,Runcorn,WA71AU,NA,01928 567492,alchemyruncorn@gmail.com,https://www.facebook.com/AlchemyRuncorn/,http://twitter.com/alchemyruncorn,,,Emailed,,NA,,Runcorn,England,,C,,4203544,53.342096,-2.730603,,12:00:00,01:00:00,12:00:00,03:00:00,,,SAT/12:00/03:30,,300,N,,https://www.instagram.com/alchemylivemusic/,Public House,Gigs and Clubs,,,,,,,,2017,NA,
